label,format,number,period,composer,work,performers,time
Titanic,CD,CD Ti-186,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia in f-sharp, H.300 (Wq.67)",Brauchli,13.0,,,,,,,,,,,
Oiseau-Lyre,CD,CD 433 189-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Fantasy in C for Fortepiano,Hogwood,7.5,,,,,,,,,,,
ECM,CD,CD 1771,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasy in f-sharp, Wq. 67, ""Bach's Feelings""",(piano) Lubimov,11.6,,,,,,,,,,,
Titanic,CD,CD Ti-186,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Farewell to my Silbermann Clavichord in the Form of a Rondeau, H. 272 (Wq. 66)",Brauchli,6.0,,,,,,,,,,,
Telefunken,LP,LP 6.35453,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Fugue in d,Tachezi,2.4,,,,,,,,,,,
Telefunken,LP,LP 6.35453,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fugue in E, Wq. 119, No. 6",Tachezi,6.8,,,,,,,,,,,
Channel Classics,CD,CD CCS 0790,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","La Stahl for keyboard in d, Wq. 117, No. 25",Ogg,3.3,,,,,,,,,,,
Harmonia Mundi,CD,CD 901275,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Les Langeueurs tendres,Moroney,1.9,,,,,,,,,,,
Channel Classics,CD,CD CCS 0790,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Les Langueurs Tendres in f, Wq. 117, No. 30",Ogg,2.2,,,,,,,,,,,
London,CD,CD 421 148-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Magnificat, Wq. 215","Palmer, Watts, Tear, Roberts, Grier, Ledger, Choir of King's College, Cambridge, Academy of St. Martin-in-the-Fields",42.9,,,,,,,,,,,
Capriccio,CD,CD 10 175,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Orchestral Symphony No. 1 in D, Wq 183 No. 1","Haenchen, Carl Philipp Emanuel Bach Chamber Orchestra",10.9,,,,,,,,,,,
Capriccio,CD,CD 10 175,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Orchestral Symphony No. 2 in E-flat, Wq 183 No. 2","Haenchen, Carl Philipp Emanuel Bach Chamber Orchestra",9.3,,,,,,,,,,,
Capriccio,CD,CD 10 175,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Orchestral Symphony No. 3 in F, Wq 183 No. 3","Haenchen, Carl Philipp Emanuel Bach Chamber Orchestra",9.2,,,,,,,,,,,
Capriccio,CD,CD 10 175,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Orchestral Symphony No. 4 in G, Wq 183 No. 4","Haenchen, Carl Philipp Emanuel Bach Chamber Orchestra",10.7,,,,,,,,,,,
Capriccio,CD,CD 10 206/207,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Osterkantate (Easter Cantata),"Lins, Elliott, Schwarz, Max, Rheinische Kantorei",26.7,,,,,,,,,,,
Capriccio,CD,CD 10 135,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Präludium in D, Wq 70 No. 7",Münch,4.6,,,,,,,,,,,
Telefunken,LP,LP 6.35453,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Präludium in D, Wq 70 No. 7",Tachezi,4.0,,,,,,,,,,,
Capriccio,CD,CD 10 209,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Psalm, ""Wer ist so würdig als du,"" Wq. 222","Max, Rheinische Kantorei, Das Kleine Konzert",4.9,,,,,,,,,,,
ex libris,CD,CD 6021,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Quartet No. 1 in a for Flute, Viola, Cello, and Harpsichord, Wq. 93","Hünteler, Engel, Darmstadt, Trimborn",14.6,,,,,,,,,,,
